Lease,Well Number,State,Formation/Reservoir, Initial Pressure Estimate (psi) , Reservoir Temperature (deg F) , Net Pay (ft) , Wellbore Diameter (ft) ,Porosity, Water Saturation , Oil Saturation , Gas Saturation , Gas Specific Gravity ,CO2, H2S ,N2,Condensate Yield (Bc/MMcf),Condensate Gravity (API), Dew Point Pressure (psi) ,Sep. Temperature (deg F),Sep. Pressure (psi), Oil Gravity (API) , Initial GOR (scf/bbl) , Bubble Point Pressure (psi) , TVD (ft) , Spacing ,# Stages,# Clusters ,# Clusters per Stage,Pre-Refrac Completion # Stages,Pre-Refrac Completion # Clusters ,Initian Completion # Clusters per Stage,# of Total Proppant (Lbs),Total Fluid (Bbls), Lateral Length (ft) , Top Perf (ft) , Bottom Perf (ft) , Sandface Temp (deg F) , Static Wellhead Temp (deg F) , Configuration ,Production Path,Pressure Loss Correlation, Tubing ID (in) , Tubing OD (in) , Tubing Depth (ft) , Casing ID 1 (in) , Casing Footage 1 (ft) , Casing ID 2 (in) , Casing Footage 2 (ft) , Casing Depth (ft) , Configuration Change (Days Since First Prod) ,Production Path.1,Pressure Loss Correlation.1, Tubing ID (in) .1, Tubing OD (in) .1, Tubing Depth (ft) .1, Casing ID 1 (in) .1, Casing Footage 1 (ft) .1, Casing ID 2 (in) .1, Casing Footage 2 (ft) .1, Casing Depth (ft) .1, Configuration Change (Days Since First Prod) .1,Production Path.2,Pressure Loss Correlation.2, Tubing ID (in) .2, Tubing OD (in) .2, Tubing Depth (ft) .2, Casing ID 1 (in) .2, Casing Footage 1 (ft) .2, Casing ID 2 (in) .2, Casing Footage 2 (ft) .2, Casing Depth (ft) .2, Configuration Change (Days Since First Prod) .2,Production Path.3,Pressure Loss Correlation.3, Tubing ID (in) .3, Tubing OD (in) .3, Tubing Depth (ft) .3, Casing ID 1 (in) .3, Casing Footage 1 (ft) .3, Casing ID 2 (in) .3, Casing Footage 2 (ft) .3, Casing Depth (ft) .3, Configuration Change (Days Since First Prod) .3,Production Path.4,Pressure Loss Correlation.4, Tubing ID (in) .4, Tubing OD (in) .4, Tubing Depth (ft) .4, Casing ID 1 (in) .4, Casing Footage 1 (ft) .4, Casing ID 2 (in) .4, Casing Footage 2 (ft) .4, Casing Depth (ft) .4, Description 
CROW,11,TX,EAGLE FORD,5500,221,63,0.7,0.052,0.321,0.679,0.0,0.9,0.0,0.0,0.0,,42.5,1764.0,100,100,42.5,513.07,1764.0,8420.2,1300.0,69,1035,15.0,,,,39020000.0,575663.0,10950,8221,19171,220.0,70.0, Initial Config ,Tubing,Beggs & Brill,1.995,2.375,8000.0,4.7780000000000005,7940,4.276,11276.0,19216.0,24.0,Gas Lift,Beggs & Brill,1.995,2.375,8000.0,4.7780000000000005,7940.0,4.276,11276.0,19216.0,216.0,Tubing,Beggs & Brill,1.995,2.375,8000.0,4.7780000000000005,7940.0,4.276,11276.0,19216.0,248.0,Gas Lift,Beggs & Brill,1.995,2.375,8000.0,4.7780000000000005,7940.0,4.276,11276.0,19216.0,,,,,,,,,,,, Child well that was codeveloped with adjacent well on a 2-well pad. Well was shut-in due to market conditions. Interpreted well response showed equivalent productivity post shut-in period. 
LORIKEET,62,LA,HAYNESVILLE SHALE,9939,285,268,0.7,0.088,0.1838,0.0,0.8162,0.58,0.0002,0.0,0.0,,30.0,9893.0,100,100,13321.8,,,11258.854,,10,69,7.0,,,,3591544.0,77278.0,4496,11253,15749,285.21375,120.0, Initial Config ,Casing,Gray,,,,4.67,15800,,,15800.0,50.0,Tubing,Gray,1.995,2.375,11225.0,4.67,15800.0,,,15800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, SNG; Unbounded legacy well 
MYNAH,63,LA,HAYNESVILLE SHALE,9800,351,208,0.7,0.0883999999999999,0.2025,0.0,0.7975,0.5820000000000001,0.0246,0.0,0.0005,,30.0,,100,100,30.0,,,11781.86043,1000.0,74,517,7.0,,,,23245567.0,400805.0,11061,12142,23203,351.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11134,4.28,12087.0,23220.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
PARTRIDGE,64,LA,HAYNESVILLE SHALE,9900,351,209,0.7,0.0883999999999999,0.2025,0.0,0.7975,0.583,0.0245,0.0,0.0005,,30.0,,100,100,30.0,,,11675.9339,1000.0,74,510,7.0,,,,22963009.0,391277.0,10966,11902,22868,351.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11005,4.28,11880.0,22885.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
CASSOWARY,65,LA,HAYNESVILLE SHALE,12223,331,161,0.7,0.091,0.1907,0.0,0.8093,0.58,0.0366,0.0,0.0,,30.0,9800.0,100,100,21274.3,,,12162.941,1300.0,8,104,8.0,,,,6134650.0,144387.0,4185,12374,16559,331.2319,120.0, Initial Config ,Tubing,Gray,2.323,2.875,11968.0,4.67,16792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, PDB; CLS parent later offset by modern completion 
ORIOLE,66,LA,HAYNESVILLE SHALE,11325,343,166,0.7,0.0856,0.2009,0.0,0.7990999999999999,0.593,0.0381,0.0,0.0004,,30.0,,100,100,30.0,,,12509.62218,850.0,67,468,7.0,,,,27197082.0,471447.0,9948,12782,22730,300.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11770,4.28,11136.0,22905.0,429.0,Tubing,Gray,1.995,2.375,12707.0,4.67,11770.0,4.28,11136.0,22905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern 3 well development infilled between legacy parent wells. 
WARBLER,67,LA,HAYNESVILLE SHALE,11000,335,166,0.7,0.0855,0.2009,0.0,0.7990999999999999,0.593,0.038,0.0,0.0005,,30.0,,100,100,30.0,,,12451.17264,850.0,60,419,7.0,,,,25082774.0,454354.0,9102,12722,21824,335.0,220.7, Initial Config ,Casing,Gray,,,,4.67,11708,4.28,10138.0,21846.0,429.0,Tubing,Gray,1.995,2.375,12707.0,4.67,11708.0,4.28,10138.0,21846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CLD; Modern 3 well development infilled between legacy parent wells. 
HARPY,68,LA,HAYNESVILLE SHALE,11325,343,166,0.7,0.0856,0.2009,0.0,0.7990999999999999,0.593,0.0381,0.0,0.0004,,30.0,,100,100,30.0,,,12484.19028,850.0,65,452,7.0,,,,26976378.0,483046.0,9747,12780,22527,343.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11819,4.28,10784.0,22602.0,431.0,Tubing,Gray,1.995,2.375,13077.0,4.67,11819.0,4.28,10784.0,22602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern 3 well development infilled between legacy parent wells. 
BEE-EATER,69,LA,HAYNESVILLE SHALE,10000,379,165,0.7,0.091,0.2,0.0,0.8,0.589,0.0338,0.0,0.0009,,30.0,,100,100,30.0,,,11965.4042,1050.0,63,440,7.0,,,,26397928.0,450784.0,9800,12340,21802,379.0,226.3, Initial Config ,Casing,Gray,,,,4.67,11477,4.276,10340.0,21817.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completion comparison for twin pair test. 
LOON,70,LA,HAYNESVILLE SHALE,10000,379,165,0.7,0.091,0.2,0.0,0.8,0.589,0.0338,0.0,0.0009,,30.0,,100,100,30.0,,,11906.29912,1050.0,77,235,3.0,,,,41398865.0,648033.0,9800,12462,21730,343.0,223.6, Initial Config ,Casing,Gray,,,,4.67,11585,4.276,10161.0,21746.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CLS; Wider CS & increase #/cl completion test 
CUCKOO,71,LA,BOSSIER SHALE ,10500,305,150,0.7,0.1,0.2,0.0,0.8,0.605,0.05,0.0,0.0,,60.0,10.0,100,100,60.0,0.0,10.0,12064.0,,89,445,5.0,,,,42946954.0,697775.0,9764,12441,22205,305.0,120.0, Initial Config ,Casing,Gray,,,,4.548,22313,,,22313.0,426.0,Tubing,Gray,1.995,2.375,12577.0,4.548,22313.0,,,22313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, SNG; Bossier well 
ROOSTER,72,LA,HAYNESVILLE SHALE,10500,350,180,0.7,0.08,0.2,0.0,0.8,0.612,0.0579999999999999,0.0,0.0,,30.0,10500.0,100,100,30.0,,,12668.0,1250.0,47,235,5.0,,,,26632739.0,530797.0,5235,13153,18388,350.0,120.0, Initial Config ,Tubing,Gray,2.992,3.5,12136.0,4.67,18551,,,18551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CLS; Increase #/cl completion test 
ARCHAEOPTERYX,73,LA,HAYNESVILLE SHALE,10300,343,183,0.7,0.0861,0.21,0.0,0.79,0.595,0.0398,0.0,0.0007,,30.0,,100,100,30.0,,,12123.47,1050.0,66,462,7.0,,,,20836790.0,395488.0,9856,12503,22359,343.0,234.0, Initial Config ,Casing,Gray,,,,4.67,11514,4.28,10862.0,22376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
TERN,74,LA,HAYNESVILLE SHALE,10450,329,193,0.7,0.0861,0.21,0.0,0.79,0.594,0.0394,0.0,0.0005,,30.0,,100,100,30.0,,,12064.16,1050.0,66,462,7.0,,,,20748830.0,378185.0,9820,12470,22290,329.0,236.0, Initial Config ,Casing,Gray,,,,4.67,11421,4.28,10885.0,22306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
STILT,75,LA,HAYNESVILLE SHALE,10800,346,150,0.7,0.0839,0.2289999999999999,0.0,0.7709999999999999,0.597,0.0421,0.0,0.0005,,30.0,,100,100,30.0,,,12545.04973,850.0,66,457,7.0,,,,20374069.0,362937.0,9878,12609,22487,346.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11468,4.276,11038.0,22505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
AVOCET,76,LA,HAYNESVILLE SHALE,11000,348,150,0.7,0.0839,0.2289999999999999,0.0,0.7709999999999999,0.598,0.042,0.0,0.0006,,30.0,,100,100,30.0,,,12530.46466,850.0,64,448,7.0,,,,20174551.0,340291.0,9525,12653,22178,355.0,120.0, Initial Config ,Casing,Gray,,,,4.67,11576,4.276,10620.0,22196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CCD; Modern completions infilled between legacy parent wells. 
