azi,md,tvd,incl,dispNs,dispEw,TVD_calc,surfNs,surfEw
71.45,3154.9,2786.0448,63.52,499.5197,199.0542,2786.0447600680227,6479063.049716607,435249.07428677246
75.71,3195.2,2803.9985,63.59,509.7159,233.6547,2803.9985321841546,6479073.2458803775,435283.67472696
81.1,3235.3,2821.3413,65.19,516.9688,269.0604,2821.341318973425,6479080.498786781,435319.08044410223
85.66,3275.1,2837.4979,66.93,521.151,305.1809,2837.497856507573,6479084.681030479,435355.20100970153
89.38,3354.3,2868.281,67.34,524.3045,378.0726,2868.2810155850066,6479087.834479219,435428.0926803579
92.97,3395.5,2883.6186,68.96,523.5137,416.2954,2883.618559221315,6479087.043716783,435466.31548904895
96.73,3436.6,2898.0736,69.87,520.2577,454.6242,2898.073573035917,6479083.787694504,435504.6442539498
101.82,3477.6,2911.6863,71.37,514.0189,492.7777,2911.6862582077656,6479077.548887765,435542.7977950097
106.98,3516.5,2923.0943,74.54,504.7609,528.7782,2923.0943254733393,6479068.290863794,435578.7982801587
107.38,3556.8,2934.2767,73.24,493.3254,565.7674,2934.276665696886,6479056.855408927,435615.7874661252
107.41,3597.7,2944.9194,76.59,481.521,603.4466,2944.9194459594296,6479045.050995584,435653.4666450073
107.4605,3637.6,2953.5448,78.44,469.849,640.6116,2953.544813908637,6479033.379002565,435690.63167158276
108.18,3678.5,2961.3524,79.55,457.5623,678.8322,2961.3523821781178,6479021.092304272,435728.8522867446
106.58,3718.3,2968.9265,78.51,445.8907,716.119,2968.926493214337,6479009.420629771,435766.13904259464
104.51,3758.8,2978.6778,73.62,435.3529,753.9734,2978.677782117667,6478998.882849435,435803.99342542887
105.01,3798.6,2991.4315,68.99,425.7528,790.4199,2991.43149112184,6478989.282797357,435840.4399766549
107.78,3834.9,3005.3557,65.9,416.3016,822.5749,3005.355712054343,6478979.831584267,435872.5949536817
109.3499,3878.4,3023.0878,65.99,403.6552,860.2285,3023.08781801996,6478967.185191087,435910.2485332763
109.47,3918.7,3039.489,65.98,391.4218,894.9479,3039.4889475392442,6478954.951786733,435944.96792653285
111.6,3959.1,3055.2231,68.18,378.3657,929.7871,3055.22311566778,6478941.8956641415,435979.80718149396
111.64,3999.8,3069.325,71.27,364.3006,965.2751,3069.325031004244,6478927.830509245,436015.29514969676
112.17,4041.1,3081.3325,74.92,349.5595,1001.9306,3081.3325277671597,6478913.089478132,436051.9506285463
111.29,4081.4,3091.8277,74.89,335.1541,1038.0747,3091.827656215906,6478898.684044516,436088.09472852404
109.65,4121.4,3102.2114,75.02,321.6456,1074.263,3102.211419237972,6478885.175553254,436124.2830632034
109.69,4161.6,3111.9567,76.92,308.5184,1110.9863,3111.956655378371,6478872.048347661,436161.0063350776
109.31,4174.1994,3114.7834,77.15,304.4199,1122.5602,3114.7834118324986,6478867.949826619,436172.58025782654
108.7598,4202.3,3120.6257,78.85,295.4561,1148.5429,3120.6256837421465,6478858.986017209,436198.56290525023
